"p2"	"p31"	"p32"	"p33"	"arc_length"
0.00000e+00	0.00000e+00	1.49147e+00	0.00000e+00	1.23668e+02
0.00000e+00	0.00000e+00	1.48974e+00	0.00000e+00	1.23842e+02
0.00000e+00	0.00000e+00	1.48800e+00	0.00000e+00	1.24015e+02
0.00000e+00	0.00000e+00	1.48627e+00	0.00000e+00	1.24188e+02
0.00000e+00	0.00000e+00	1.48453e+00	0.00000e+00	1.24361e+02
0.00000e+00	0.00000e+00	1.48280e+00	0.00000e+00	1.24534e+02
0.00000e+00	0.00000e+00	1.48106e+00	0.00000e+00	1.24708e+02
0.00000e+00	0.00000e+00	1.47933e+00	0.00000e+00	1.24881e+02
0.00000e+00	0.00000e+00	1.47759e+00	0.00000e+00	1.25054e+02
0.00000e+00	0.00000e+00	1.47586e+00	0.00000e+00	1.25227e+02
0.00000e+00	0.00000e+00	1.47412e+00	0.00000e+00	1.25400e+02
0.00000e+00	0.00000e+00	1.47239e+00	0.00000e+00	1.25574e+02
0.00000e+00	0.00000e+00	1.47066e+00	0.00000e+00	1.25747e+02
0.00000e+00	0.00000e+00	1.46895e+00	0.00000e+00	1.25920e+02
0.00000e+00	0.00000e+00	1.46724e+00	0.00000e+00	1.26093e+02
0.00000e+00	0.00000e+00	1.46556e+00	0.00000e+00	1.26267e+02
0.00000e+00	0.00000e+00	1.46384e+00	0.00000e+00	1.26440e+02
0.00000e+00	0.00000e+00	1.46207e+00	0.00000e+00	1.26613e+02
0.00000e+00	0.00000e+00	1.46030e+00	0.00000e+00	1.26786e+02
0.00000e+00	0.00000e+00	1.45853e+00	0.00000e+00	1.26959e+02
0.00000e+00	0.00000e+00	1.45676e+00	0.00000e+00	1.27133e+02
0.00000e+00	0.00000e+00	1.45500e+00	0.00000e+00	1.27306e+02
0.00000e+00	0.00000e+00	1.45323e+00	0.00000e+00	1.27479e+02
0.00000e+00	0.00000e+00	1.45146e+00	0.00000e+00	1.27652e+02
0.00000e+00	0.00000e+00	1.44969e+00	0.00000e+00	1.27825e+02
0.00000e+00	0.00000e+00	1.44792e+00	0.00000e+00	1.27999e+02
0.00000e+00	0.00000e+00	1.44616e+00	0.00000e+00	1.28172e+02
0.00000e+00	0.00000e+00	1.44440e+00	0.00000e+00	1.28345e+02
0.00000e+00	0.00000e+00	1.44263e+00	0.00000e+00	1.28518e+02
0.00000e+00	0.00000e+00	1.44087e+00	0.00000e+00	1.28691e+02
0.00000e+00	0.00000e+00	1.43911e+00	0.00000e+00	1.28865e+02
0.00000e+00	0.00000e+00	1.43735e+00	0.00000e+00	1.29038e+02
0.00000e+00	0.00000e+00	1.43558e+00	0.00000e+00	1.29211e+02
0.00000e+00	0.00000e+00	1.43381e+00	0.00000e+00	1.29384e+02
0.00000e+00	0.00000e+00	1.43204e+00	0.00000e+00	1.29557e+02
0.00000e+00	0.00000e+00	1.43027e+00	0.00000e+00	1.29731e+02
0.00000e+00	0.00000e+00	1.42852e+00	0.00000e+00	1.29904e+02
0.00000e+00	0.00000e+00	1.42669e+00	0.00000e+00	1.30077e+02
0.00000e+00	0.00000e+00	1.42485e+00	0.00000e+00	1.30250e+02
0.00000e+00	0.00000e+00	1.42302e+00	0.00000e+00	1.30423e+02
0.00000e+00	0.00000e+00	1.42118e+00	0.00000e+00	1.30597e+02
0.00000e+00	0.00000e+00	1.41936e+00	0.00000e+00	1.30770e+02
0.00000e+00	0.00000e+00	1.41756e+00	0.00000e+00	1.30943e+02
0.00000e+00	0.00000e+00	1.41575e+00	0.00000e+00	1.31116e+02
0.00000e+00	0.00000e+00	1.41395e+00	0.00000e+00	1.31289e+02
0.00000e+00	0.00000e+00	1.41214e+00	0.00000e+00	1.31463e+02
0.00000e+00	0.00000e+00	1.41034e+00	0.00000e+00	1.31636e+02
0.00000e+00	0.00000e+00	1.40853e+00	0.00000e+00	1.31809e+02
0.00000e+00	0.00000e+00	1.40673e+00	0.00000e+00	1.31982e+02
